id,comment,Factuality_score,Completeness_score,Safety_score,Clnical Applicability_score
1,,1,1,1,1
2,,2,2,2,2
3,,3,3,3,3
4,,4,4,4,4
5,,5,5,5,5
5,,5,5,5,5
1,,1,1,1,5
2,,1,1,1,5
3,,1,1,1,5
4,,1,1,1,5
5,,1,1,1,5
6,,1,1,1,5
7,,1,1,1,5
8,,1,1,1,5
9,,1,1,1,5
10,,1,1,1,5
11,,1,1,1,5
12,,1,1,1,5
13,,1,1,1,5
14,,1,1,1,5
15,,1,1,1,5
16,,1,1,1,5
17,,1,1,1,5
18,,1,1,1,5
19,,1,1,1,5
20,,1,1,1,5
21,,1,1,1,5
22,,1,1,1,5
23,,1,1,1,5
24,,1,1,1,5
25,,1,1,1,5
26,,1,1,1,5
27,,1,1,1,5
28,,1,1,1,5
29,,1,1,1,5
30,,1,1,1,5
31,,1,1,1,5
32,,1,1,1,5
33,,1,1,1,5
34,,1,1,1,5
